Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
154838,AAA Batteries (4-pack),2,2.99,02/16/19 10:45,"479 River St, Los Angeles, CA 90001"
154839,Bose SoundSport Headphones,1,99.99,02/10/19 09:56,"778 Hickory St, Boston, MA 02215"
154840,ThinkPad Laptop,1,999.99,02/24/19 12:53,"278 Wilson St, Austin, TX 73301"
154841,Lightning Charging Cable,1,14.95,02/06/19 01:21,"442 Center St, Boston, MA 02215"
154842,Google Phone,1,600.0,02/17/19 19:50,"843 South St, New York City, NY 10001"
154842,USB-C Charging Cable,1,11.95,02/17/19 19:50,"843 South St, New York City, NY 10001"
154843,iPhone,1,700.0,02/11/19 05:22,"230 Willow St, Seattle, WA 98101"
154844,27in FHD Monitor,1,149.99,02/06/19 11:35,"13 Maple St, San Francisco, CA 94016"
154845,AA Batteries (4-pack),1,3.84,02/10/19 22:07,"182 Johnson St, San Francisco, CA 94016"
154846,34in Ultrawide Monitor,1,379.99,02/21/19 07:06,"583 14th St, Portland, OR 97035"
154847,Apple Airpods Headphones,1,150.0,02/24/19 16:36,"784 13th St, San Francisco, CA 94016"
154848,27in 4K Gaming Monitor,1,389.99,02/28/19 22:52,"483 Lincoln St, Los Angeles, CA 90001"
154849,27in FHD Monitor,1,149.99,02/09/19 13:40,"219 Center St, San Francisco, CA 94016"
154850,AA Batteries (4-pack),2,3.84,02/02/19 16:30,"895 9th St, Austin, TX 73301"
154851,Wired Headphones,1,11.99,02/02/19 19:01,"121 13th St, Boston, MA 02215"
154852,Apple Airpods Headphones,1,150.0,02/18/19 21:35,"958 Cherry St, San Francisco, CA 94016"
154853,Bose SoundSport Headphones,1,99.99,02/07/19 08:21,"748 Forest St, Portland, OR 97035"
154854,Bose SoundSport Headphones,1,99.99,02/24/19 08:12,"794 6th St, San Francisco, CA 94016"
154855,Flatscreen TV,1,300.0,02/28/19 13:09,"109 7th St, New York City, NY 10001"
154856,AAA Batteries (4-pack),1,2.99,02/23/19 17:25,"555 Forest St, Dallas, TX 75001"
154857,iPhone,1,700.0,02/17/19 11:43,"740 Lincoln St, Portland, ME 04101"
154858,34in Ultrawide Monitor,1,379.99,02/14/19 16:46,"901 Walnut St, San Francisco, CA 94016"
154859,Bose SoundSport Headphones,1,99.99,02/28/19 11:23,"268 Park St, New York City, NY 10001"
154860,27in 4K Gaming Monitor,1,389.99,02/09/19 19:32,"398 Adams St, Seattle, WA 98101"
154861,AAA Batteries (4-pack),1,2.99,02/21/19 12:15,"84 4th St, San Francisco, CA 94016"
154861,Lightning Charging Cable,1,14.95,02/21/19 12:15,"84 4th St, San Francisco, CA 94016"
154862,AA Batteries (4-pack),1,3.84,02/05/19 11:29,"711 Pine St, New York City, NY 10001"
154863,Apple Airpods Headphones,1,150.0,02/24/19 23:03,"603 River St, Austin, TX 73301"
154864,USB-C Charging Cable,1,11.95,02/06/19 13:58,"429 Lakeview St, New York City, NY 10001"
154865,27in FHD Monitor,1,149.99,02/02/19 10:58,"470 5th St, Portland, ME 04101"
154866,AAA Batteries (4-pack),1,2.99,02/02/19 00:04,"739 Hickory St, San Francisco, CA 94016"
154867,Flatscreen TV,1,300.0,02/22/19 00:47,"519 Meadow St, San Francisco, CA 94016"
154868,20in Monitor,1,109.99,02/21/19 19:44,"457 4th St, Seattle, WA 98101"
154869,Lightning Charging Cable,1,14.95,02/22/19 23:36,"273 13th St, Los Angeles, CA 90001"
154870,Bose SoundSport Headphones,1,99.99,02/15/19 10:47,"275 Forest St, New York City, NY 10001"
