Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Wired Headphones,1,11.99,01/22/19 16:26,"402 Center St, New York City, NY 10001"
141235,USB-C Charging Cable,1,11.95,01/08/19 11:09,"507 Lincoln St, Los Angeles, CA 90001"
141236,Bose SoundSport Headphones,1,99.99,01/04/19 12:55,"942 Jefferson St, Boston, MA 02215"
141237,Lightning Charging Cable,1,14.95,01/18/19 18:58,"964 2nd St, New York City, NY 10001"
141238,Apple Airpods Headphones,1,150.0,01/15/19 16:46,"336 Church St, Portland, OR 97035"
141239,27in FHD Monitor,1,149.99,01/23/19 17:23,"524 Johnson St, Atlanta, GA 30301"
141240,Lightning Charging Cable,1,14.95,01/22/19 18:13,"895 Dogwood St, New York City, NY 10001"
141241,AA Batteries (4-pack),2,3.84,01/14/19 13:12,"919 12th St, Boston, MA 02215"
141242,Macbook Pro Laptop,1,1700.0,01/21/19 15:06,"172 Hickory St, Los Angeles, CA 90001"
141243,USB-C Charging Cable,2,11.95,01/12/19 16:05,"471 West St, Boston, MA 02215"
141244,27in FHD Monitor,1,149.99,01/15/19 15:31,"85 5th St, Austin, TX 73301"
141245,USB-C Charging Cable,2,11.95,01/03/19 19:27,"892 Meadow St, Los Angeles, CA 90001"
141246,Lightning Charging Cable,1,14.95,01/22/19 13:13,"215 Cedar St, Dallas, TX 75001"
141247,Google Phone,1,600.0,01/06/19 13:09,"15 2nd St, Boston, MA 02215"
141247,USB-C Charging Cable,1,11.95,01/06/19 13:09,"15 2nd St, Boston, MA 02215"
141248,AA Batteries (4-pack),2,3.84,01/28/19 12:43,"463 Sunset St, Austin, TX 73301"
141249,USB-C Charging Cable,1,11.95,01/02/19 12:52,"766 10th St, Austin, TX 73301"
141250,Bose SoundSport Headphones,1,99.99,01/07/19 19:54,"196 14th St, Los Angeles, CA 90001"
141251,Apple Airpods Headphones,1,150.0,01/12/19 16:28,"527 13th St, Boston, MA 02215"
141252,USB-C Charging Cable,1,11.95,01/17/19 19:08,"547 Main St, Dallas, TX 75001"
141253,Google Phone,1,600.0,01/31/19 09:05,"835 12th St, Boston, MA 02215"
141254,Lightning Charging Cable,1,14.95,01/02/19 09:09,"795 Forest St, Los Angeles, CA 90001"
141255,USB-C Charging Cable,1,11.95,01/04/19 13:05,"579 Maple St, Los Angeles, CA 90001"
141256,AAA Batteries (4-pack),1,2.99,01/03/19 13:13,"734 10th St, Boston, MA 02215"
141257,Flatscreen TV,1,300.0,01/20/19 22:15,"968 14th St, New York City, NY 10001"
141258,Bose SoundSport Headphones,1,99.99,01/11/19 20:39,"157 Elm St, Los Angeles, CA 90001"
141259,Bose SoundSport Headphones,1,99.99,01/16/19 17:48,"165 Lake St, Portland, OR 97035"
141260,34in Ultrawide Monitor,1,379.99,01/09/19 12:41,"395 Park St, San Francisco, CA 94016"
141261,AA Batteries (4-pack),1,3.84,01/26/19 10:49,"797 Willow St, Austin, TX 73301"
141262,AA Batteries (4-pack),1,3.84,01/21/19 21:23,"725 8th St, Portland, OR 97035"
141263,Google Phone,1,600.0,01/12/19 18:17,"131 Dogwood St, Atlanta, GA 30301"
141264,Lightning Charging Cable,1,14.95,01/26/19 20:01,"671 12th St, Atlanta, GA 30301"
141265,AA Batteries (4-pack),2,3.84,01/14/19 16:51,"800 Cherry St, New York City, NY 10001"
141266,Wired Headphones,2,11.99,01/30/19 15:34,"133 Meadow St, Boston, MA 02215"
141267,USB-C Charging Cable,1,11.95,01/14/19 16:29,"10 Ridge St, New York City, NY 10001"
141268,Wired Headphones,1,11.99,01/02/19 22:38,"179 Walnut St, San Francisco, CA 94016"
141269,iPhone,1,700.0,01/31/19 12:23,"468 14th St, San Francisco, CA 94016"
141270,AAA Batteries (4-pack),1,2.99,01/07/19 20:51,"294 Sunset St, San Francisco, CA 94016"
141271,AAA Batteries (4-pack),2,2.99,01/01/19 20:23,"34 Willow St, Boston, MA 02215"
141272,USB-C Charging Cable,1,11.95,01/30/19 14:47,"793 13th St, San Francisco, CA 94016"
141273,iPhone,1,700.0,01/01/19 18:17,"831 5th St, Boston, MA 02215"
141274,Bose SoundSport Headphones,1,99.99,01/21/19 20:14,"545 Jackson St, Dallas, TX 75001"
141274,20in Monitor,1,109.99,01/21/19 20:14,"545 Jackson St, Dallas, TX 75001"
141275,Bose SoundSport Headphones,1,99.99,01/23/19 22:55,"332 9th St, San Francisco, CA 94016"
141276,AA Batteries (4-pack),1,3.84,01/20/19 00:28,"305 River St, Dallas, TX 75001"
141277,iPhone,1,700.0,01/24/19 15:38,"894 13th St, San Francisco, CA 94016"
141277,Wired Headphones,1,11.99,01/24/19 15:38,"894 13th St, San Francisco, CA 94016"
141278,Flatscreen TV,1,300.0,01/04/19 08:20,"103 Ridge St, Atlanta, GA 30301"
141279,Lightning Charging Cable,1,14.95,01/15/19 18:38,"160 Lincoln St, Atlanta, GA 30301"
141280,27in FHD Monitor,1,149.99,01/25/19 10:17,"752 North St, San Francisco, CA 94016"
141281,ThinkPad Laptop,1,999.99,01/11/19 10:54,"283 Hickory St, Boston, MA 02215"
141282,34in Ultrawide Monitor,1,379.99,01/15/19 13:35,"533 North St, Seattle, WA 98101"
141283,Apple Airpods Headphones,1,150.0,01/02/19 05:07,"290 Cedar St, Boston, MA 02215"
141284,LG Dryer,1,600.0,01/14/19 21:55,"243 Pine St, San Francisco, CA 94016"
141285,USB-C Charging Cable,1,11.95,01/24/19 07:58,"908 Spruce St, Portland, OR 97035"
141286,Apple Airpods Headphones,1,150.0,01/13/19 11:17,"813 Forest St, San Francisco, CA 94016"
141287,27in FHD Monitor,1,149.99,01/14/19 22:33,"875 Maple St, Dallas, TX 75001"
141288,Bose SoundSport Headphones,1,99.99,01/27/19 19:49,"901 Center St, Austin, TX 73301"
141289,Apple Airpods Headphones,1,150.0,01/16/19 10:15,"727 Johnson St, Boston, MA 02215"
141290,AA Batteries (4-pack),1,3.84,01/17/19 22:16,"324 Elm St, Atlanta, GA 30301"
141291,Apple Airpods Headphones,1,150.0,01/14/19 12:19,"323 Meadow St, San Francisco, CA 94016"
141292,USB-C Charging Cable,1,11.95,01/08/19 21:07,"816 7th St, Los Angeles, CA 90001"
141293,USB-C Charging Cable,1,11.95,01/21/19 14:03,"881 Walnut St, New York City, NY 10001"
