Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
171687,iPhone,1,700,03/24/19 16:36,"924 4th St, New York City, NY 10001"
171688,Bose SoundSport Headphones,1,99.99,03/29/19 17:42,"887 Park St, San Francisco, CA 94016"
171689,20in Monitor,1,109.99,03/10/19 19:13,"409 8th St, New York City, NY 10001"
171690,USB-C Charging Cable,1,11.95,03/09/19 20:56,"279 4th St, Boston, MA 02215"
171691,Macbook Pro Laptop,1,1700,03/11/19 21:36,"148 Willow St, Dallas, TX 75001"
171692,Bose SoundSport Headphones,1,99.99,03/26/19 12:22,"262 Jefferson St, New York City, NY 10001"
171693,AA Batteries (4-pack),1,3.84,03/06/19 16:26,"955 Maple St, Boston, MA 02215"
171694,Lightning Charging Cable,1,14.95,03/21/19 15:19,"594 Pine St, Boston, MA 02215"
171695,USB-C Charging Cable,1,11.95,03/28/19 11:09,"326 Lakeview St, Los Angeles, CA 90001"
171696,27in FHD Monitor,1,149.99,03/22/19 11:59,"100 1st St, New York City, NY 10001"
171697,Lightning Charging Cable,1,14.95,03/02/19 13:58,"744 8th St, Atlanta, GA 30301"
171698,Bose SoundSport Headphones,1,99.99,03/28/19 23:48,"299 Lincoln St, Dallas, TX 75001"
171699,AA Batteries (4-pack),1,3.84,03/30/19 13:28,"968 13th St, Seattle, WA 98101"
171700,Apple Airpods Headphones,1,150,03/08/19 16:46,"626 Pine St, San Francisco, CA 94016"
171701,Apple Airpods Headphones,1,150,03/08/19 08:12,"308 Chestnut St, Los Angeles, CA 90001"
171702,Macbook Pro Laptop,1,1700,04/01/19 04:17,"243 4th St, Boston, MA 02215"
171703,Wired Headphones,1,11.99,03/05/19 15:10,"102 10th St, Boston, MA 02215"
171704,27in FHD Monitor,1,149.99,03/31/19 23:02,"572 Jefferson St, Atlanta, GA 30301"
171705,Apple Airpods Headphones,1,150,03/02/19 13:41,"768 Lakeview St, Boston, MA 02215"
171706,USB-C Charging Cable,1,11.95,03/06/19 11:34,"886 13th St, San Francisco, CA 94016"
171707,Bose SoundSport Headphones,1,99.99,03/09/19 21:30,"766 13th St, Atlanta, GA 30301"
171708,USB-C Charging Cable,1,11.95,03/08/19 09:38,"879 Park St, Los Angeles, CA 90001"
171709,AA Batteries (4-pack),1,3.84,03/29/19 17:02,"146 Adams St, New York City, NY 10001"
171710,34in Ultrawide Monitor,1,379.99,03/01/19 20:12,"673 Meadow St, Dallas, TX 75001"
171711,USB-C Charging Cable,1,11.95,03/04/19 15:27,"822 5th St, Los Angeles, CA 90001"
171712,Apple Airpods Headphones,1,150,03/18/19 23:19,"137 Spruce St, Portland, OR 97035"
171713,AA Batteries (4-pack),1,3.84,03/08/19 09:04,"424 8th St, Austin, TX 73301"
171714,AAA Batteries (4-pack),1,2.99,03/29/19 17:23,"858 7th St, Los Angeles, CA 90001"
171715,AA Batteries (4-pack),1,3.84,03/25/19 14:22,"900 Hickory St, San Francisco, CA 94016"
171716,USB-C Charging Cable,1,11.95,03/10/19 03:04,"206 Johnson St, San Francisco, CA 94016"
171717,Apple Airpods Headphones,1,150,03/09/19 16:22,"247 12th St, New York City, NY 10001"
171718,AAA Batteries (4-pack),1,2.99,03/02/19 19:28,"49 Highland St, Boston, MA 02215"
171719,USB-C Charging Cable,1,11.95,03/27/19 13:16,"367 2nd St, Los Angeles, CA 90001"
171720,27in FHD Monitor,1,149.99,03/04/19 18:55,"550 Madison St, San Francisco, CA 94016"
171721,Wired Headphones,1,11.99,03/25/19 11:28,"382 Maple St, Austin, TX 73301"
171722,Wired Headphones,1,11.99,03/04/19 15:04,"597 10th St, San Francisco, CA 94016"
171723,Flatscreen TV,1,300,03/28/19 19:40,"585 Dogwood St, Los Angeles, CA 90001"
171724,Lightning Charging Cable,1,14.95,03/30/19 18:11,"148 Chestnut St, San Francisco, CA 94016"
171725,27in 4K Gaming Monitor,1,389.99,03/20/19 10:15,"275 10th St, Dallas, TX 75001"
171726,Apple Airpods Headphones,1,150,03/04/19 20:31,"327 Spruce St, Seattle, WA 98101"
171727,Wired Headphones,1,11.99,03/06/19 11:17,"140 Pine St, Los Angeles, CA 90001"
171728,20in Monitor,1,109.99,03/13/19 21:39,"620 7th St, Los Angeles, CA 90001"
171729,AAA Batteries (4-pack),1,2.99,03/26/19 22:13,"174 Willow St, Boston, MA 02215"
171730,Apple Airpods Headphones,1,150,03/04/19 19:21,"707 Johnson St, New York City, NY 10001"
171731,Apple Airpods Headphones,1,150,03/15/19 10:44,"148 7th St, San Francisco, CA 94016"
171732,AA Batteries (4-pack),2,3.84,03/29/19 12:07,"49 Lakeview St, Los Angeles, CA 90001"
171733,Bose SoundSport Headphones,1,99.99,03/02/19 15:58,"898 Hill St, Austin, TX 73301"
171734,AA Batteries (4-pack),1,3.84,03/13/19 20:54,"515 Hill St, San Francisco, CA 94016"
171735,USB-C Charging Cable,1,11.95,03/21/19 19:30,"845 Church St, Portland, OR 97035"
171736,AA Batteries (4-pack),2,3.84,03/21/19 22:13,"448 13th St, Seattle, WA 98101"
171737,AA Batteries (4-pack),1,3.84,03/03/19 09:45,"428 Cedar St, Dallas, TX 75001"
171738,USB-C Charging Cable,1,11.95,03/23/19 11:49,"657 1st St, Los Angeles, CA 90001"
171739,Lightning Charging Cable,1,14.95,03/12/19 10:03,"344 Hill St, San Francisco, CA 94016"
171740,20in Monitor,1,109.99,03/26/19 15:43,"268 Cherry St, Dallas, TX 75001"
171741,AA Batteries (4-pack),4,3.84,03/27/19 13:44,"91 1st St, New York City, NY 10001"
171742,Wired Headphones,1,11.99,03/29/19 12:55,"318 Cherry St, San Francisco, CA 94016"
171743,AAA Batteries (4-pack),1,2.99,03/01/19 12:46,"729 2nd St, Los Angeles, CA 90001"
171743,Bose SoundSport Headphones,1,99.99,03/01/19 12:46,"729 2nd St, Los Angeles, CA 90001"
171744,27in FHD Monitor,1,149.99,03/07/19 13:17,"729 4th St, New York City, NY 10001"
171745,Lightning Charging Cable,1,14.95,03/22/19 19:08,"942 Hill St, New York City, NY 10001"
171746,Lightning Charging Cable,2,14.95,03/09/19 12:14,"940 Adams St, San Francisco, CA 94016"
171747,USB-C Charging Cable,1,11.95,03/02/19 01:32,"947 Jefferson St, New York City, NY 10001"
171748,AA Batteries (4-pack),1,3.84,03/19/19 20:24,"984 Hickory St, Seattle, WA 98101"
171749,AAA Batteries (4-pack),2,2.99,03/18/19 12:09,"501 Adams St, Portland, ME 04101"
171750,AA Batteries (4-pack),1,3.84,03/25/19 12:14,"207 Spruce St, Seattle, WA 98101"
171751,Vareebadd Phone,1,400,03/03/19 04:51,"299 Pine St, San Francisco, CA 94016"
171752,Apple Airpods Headphones,1,150,03/29/19 09:27,"534 Pine St, San Francisco, CA 94016"
171753,AAA Batteries (4-pack),1,2.99,03/15/19 11:57,"908 River St, New York City, NY 10001"
171754,AA Batteries (4-pack),1,3.84,03/07/19 09:58,"843 Cherry St, Los Angeles, CA 90001"
171755,USB-C Charging Cable,1,11.95,03/18/19 13:49,"925 Willow St, San Francisco, CA 94016"
171756,Bose SoundSport Headphones,1,99.99,03/01/19 17:26,"242 Church St, New York City, NY 10001"
171757,27in FHD Monitor,1,149.99,03/29/19 20:06,"6 Jackson St, San Francisco, CA 94016"
171758,USB-C Charging Cable,1,11.95,03/29/19 10:57,"998 Willow St, San Francisco, CA 94016"
171759,Lightning Charging Cable,1,14.95,03/08/19 08:02,"293 Church St, San Francisco, CA 94016"
171760,Bose SoundSport Headphones,1,99.99,03/28/19 11:03,"287 1st St, Seattle, WA 98101"
171761,Apple Airpods Headphones,1,150,03/22/19 15:54,"790 Chestnut St, Austin, TX 73301"
171762,27in FHD Monitor,1,149.99,03/02/19 09:56,"154 Lincoln St, Dallas, TX 75001"
171763,iPhone,1,700,03/16/19 14:37,"681 7th St, San Francisco, CA 94016"
171764,USB-C Charging Cable,1,11.95,03/06/19 10:54,"873 Lincoln St, Boston, MA 02215"
171765,AAA Batteries (4-pack),1,2.99,03/22/19 18:36,"123 Lake St, San Francisco, CA 94016"
171765,Wired Headphones,1,11.99,03/22/19 18:36,"123 Lake St, San Francisco, CA 94016"
171766,Lightning Charging Cable,1,14.95,03/30/19 13:38,"112 Dogwood St, San Francisco, CA 94016"
171767,AA Batteries (4-pack),1,3.84,03/09/19 14:38,"361 Hickory St, Atlanta, GA 30301"
171768,AAA Batteries (4-pack),3,2.99,03/30/19 18:02,"34 Adams St, Los Angeles, CA 90001"
171769,iPhone,1,700,03/22/19 10:09,"108 Ridge St, Austin, TX 73301"
171770,Bose SoundSport Headphones,1,99.99,03/14/19 14:44,"876 Jackson St, San Francisco, CA 94016"
171771,AA Batteries (4-pack),1,3.84,03/27/19 14:45,"651 13th St, Atlanta, GA 30301"
171772,Bose SoundSport Headphones,1,99.99,03/04/19 21:11,"868 North St, New York City, NY 10001"
171773,Lightning Charging Cable,3,14.95,03/28/19 12:20,"892 West St, Atlanta, GA 30301"
171774,Apple Airpods Headphones,1,150,03/16/19 13:47,"82 Cedar St, San Francisco, CA 94016"
171775,AA Batteries (4-pack),2,3.84,03/07/19 15:18,"748 Jackson St, San Francisco, CA 94016"
171776,Wired Headphones,1,11.99,03/05/19 11:43,"607 13th St, Austin, TX 73301"
171777,27in FHD Monitor,1,149.99,03/18/19 20:40,"288 Highland St, Atlanta, GA 30301"
171778,Google Phone,1,600,03/28/19 21:45,"349 Main St, Austin, TX 73301"
171779,Bose SoundSport Headphones,1,99.99,03/26/19 17:56,"689 Lakeview St, New York City, NY 10001"
171780,Google Phone,1,600,03/02/19 02:39,"653 Lincoln St, Los Angeles, CA 90001"
171780,Wired Headphones,1,11.99,03/02/19 02:39,"653 Lincoln St, Los Angeles, CA 90001"
171781,Lightning Charging Cable,1,14.95,03/31/19 09:17,"726 Center St, New York City, NY 10001"
171782,USB-C Charging Cable,1,11.95,03/13/19 11:34,"269 Johnson St, New York City, NY 10001"
171783,AA Batteries (4-pack),2,3.84,03/28/19 19:45,"165 Cedar St, Atlanta, GA 30301"
171784,USB-C Charging Cable,1,11.95,03/17/19 16:32,"624 9th St, San Francisco, CA 94016"
171785,Wired Headphones,1,11.99,03/23/19 21:14,"375 Hickory St, San Francisco, CA 94016"
171786,AAA Batteries (4-pack),1,2.99,03/15/19 15:02,"35 Hill St, Atlanta, GA 30301"
171787,Flatscreen TV,1,300,03/18/19 18:33,"82 Elm St, Boston, MA 02215"
171788,AA Batteries (4-pack),3,3.84,03/19/19 18:21,"613 Pine St, San Francisco, CA 94016"
,,,,,
171789,Apple Airpods Headphones,1,150,03/11/19 07:08,"494 2nd St, Dallas, TX 75001"
171790,AAA Batteries (4-pack),1,2.99,03/21/19 23:36,"264 Johnson St, San Francisco, CA 94016"
171791,Bose SoundSport Headphones,1,99.99,03/04/19 05:24,"539 9th St, Los Angeles, CA 90001"
171792,Apple Airpods Headphones,1,150,03/25/19 18:17,"689 Pine St, Los Angeles, CA 90001"
171793,27in FHD Monitor,1,149.99,03/14/19 13:38,"930 13th St, New York City, NY 10001"
171794,Bose SoundSport Headphones,1,99.99,03/15/19 18:34,"428 Madison St, Dallas, TX 75001"
171795,AAA Batteries (4-pack),1,2.99,03/11/19 22:48,"256 North St, Los Angeles, CA 90001"
171796,Wired Headphones,1,11.99,03/03/19 13:45,"51 Cedar St, Austin, TX 73301"
171797,Vareebadd Phone,1,400,03/20/19 14:11,"468 Willow St, Los Angeles, CA 90001"
171798,iPhone,1,700,03/28/19 12:29,"119 South St, Los Angeles, CA 90001"
171799,Google Phone,1,600,03/05/19 12:09,"463 Jefferson St, Seattle, WA 98101"
171799,Wired Headphones,1,11.99,03/05/19 12:09,"463 Jefferson St, Seattle, WA 98101"
171800,Macbook Pro Laptop,1,1700,03/08/19 23:11,"563 Dogwood St, Seattle, WA 98101"
171801,Apple Airpods Headphones,1,150,03/17/19 09:22,"10 Madison St, Atlanta, GA 30301"
171802,AAA Batteries (4-pack),3,2.99,03/03/19 23:17,"417 Adams St, Los Angeles, CA 90001"
171803,USB-C Charging Cable,1,11.95,03/21/19 13:51,"602 Lincoln St, Portland, ME 04101"
171804,27in FHD Monitor,1,149.99,03/12/19 17:30,"520 14th St, San Francisco, CA 94016"
171805,USB-C Charging Cable,1,11.95,03/10/19 19:46,"865 Jefferson St, Los Angeles, CA 90001"
171806,USB-C Charging Cable,1,11.95,03/21/19 22:38,"297 14th St, New York City, NY 10001"
171807,AAA Batteries (4-pack),1,2.99,03/30/19 14:37,"390 Dogwood St, Los Angeles, CA 90001"
171808,Apple Airpods Headphones,1,150,03/02/19 12:51,"714 Cedar St, Los Angeles, CA 90001"
171809,Google Phone,1,600,03/18/19 15:57,"82 Elm St, San Francisco, CA 94016"
171810,Apple Airpods Headphones,1,150,03/26/19 15:58,"971 Church St, San Francisco, CA 94016"
171811,AAA Batteries (4-pack),3,2.99,03/23/19 17:06,"736 4th St, New York City, NY 10001"
171812,Flatscreen TV,1,300,03/23/19 23:14,"93 6th St, New York City, NY 10001"
171813,Lightning Charging Cable,1,14.95,03/31/19 19:27,"410 4th St, San Francisco, CA 94016"
171814,Flatscreen TV,1,300,03/21/19 19:43,"929 Hickory St, Atlanta, GA 30301"
171815,AAA Batteries (4-pack),2,2.99,03/07/19 18:44,"397 Wilson St, Atlanta, GA 30301"
171816,Apple Airpods Headphones,1,150,03/06/19 18:59,"275 Spruce St, Atlanta, GA 30301"
171817,Lightning Charging Cable,1,14.95,03/24/19 15:20,"809 1st St, Austin, TX 73301"
171818,Google Phone,1,600,03/01/19 13:34,"372 Jefferson St, Seattle, WA 98101"
171818,USB-C Charging Cable,1,11.95,03/01/19 13:34,"372 Jefferson St, Seattle, WA 98101"
171819,USB-C Charging Cable,1,11.95,03/10/19 16:58,"687 Walnut St, New York City, NY 10001"
171820,Macbook Pro Laptop,1,1700,03/07/19 19:48,"60 9th St, New York City, NY 10001"
171821,Bose SoundSport Headphones,1,99.99,03/30/19 09:52,"439 Ridge St, Dallas, TX 75001"
171822,27in FHD Monitor,1,149.99,03/17/19 12:02,"85 Dogwood St, Seattle, WA 98101"
171823,Apple Airpods Headphones,1,150,03/16/19 19:01,"851 River St, Seattle, WA 98101"
171824,AA Batteries (4-pack),1,3.84,03/31/19 20:24,"322 Hickory St, Portland, OR 97035"
171825,AAA Batteries (4-pack),2,2.99,03/27/19 22:34,"106 Lincoln St, Portland, OR 97035"
171826,Lightning Charging Cable,1,14.95,03/28/19 09:49,"617 Washington St, San Francisco, CA 94016"
171827,34in Ultrawide Monitor,1,379.99,03/22/19 01:45,"441 Chestnut St, Atlanta, GA 30301"
171828,Bose SoundSport Headphones,1,99.99,03/25/19 12:06,"452 9th St, New York City, NY 10001"
171829,27in FHD Monitor,1,149.99,03/23/19 08:12,"313 5th St, New York City, NY 10001"
171830,USB-C Charging Cable,1,11.95,03/12/19 09:31,"144 Ridge St, Los Angeles, CA 90001"
171831,Wired Headphones,1,11.99,03/13/19 20:41,"501 Hickory St, Los Angeles, CA 90001"
171832,iPhone,1,700,03/04/19 08:04,"299 Main St, New York City, NY 10001"
171833,AAA Batteries (4-pack),1,2.99,03/13/19 12:50,"635 Ridge St, San Francisco, CA 94016"
171834,27in FHD Monitor,1,149.99,03/17/19 10:13,"466 Washington St, San Francisco, CA 94016"
171835,AAA Batteries (4-pack),1,2.99,03/11/19 19:24,"757 14th St, Atlanta, GA 30301"
171836,ThinkPad Laptop,1,999.99,03/29/19 07:07,"797 Jackson St, Atlanta, GA 30301"
171837,Bose SoundSport Headphones,1,99.99,03/10/19 11:13,"251 Jefferson St, Dallas, TX 75001"
171838,20in Monitor,1,109.99,03/30/19 12:11,"289 Madison St, Los Angeles, CA 90001"
171839,Lightning Charging Cable,1,14.95,03/02/19 07:18,"645 11th St, New York City, NY 10001"
171840,20in Monitor,1,109.99,03/17/19 23:31,"833 Forest St, New York City, NY 10001"
171841,AA Batteries (4-pack),1,3.84,03/23/19 21:16,"797 12th St, Seattle, WA 98101"
171842,27in FHD Monitor,1,149.99,03/29/19 13:13,"785 8th St, Portland, OR 97035"
171843,Apple Airpods Headphones,1,150,03/01/19 18:43,"786 Cherry St, Atlanta, GA 30301"
171844,Flatscreen TV,1,300,03/13/19 09:06,"576 Center St, Los Angeles, CA 90001"
171845,Google Phone,1,600,03/28/19 18:52,"647 Highland St, San Francisco, CA 94016"
171846,AA Batteries (4-pack),2,3.84,03/12/19 18:20,"311 11th St, Austin, TX 73301"
171846,20in Monitor,1,109.99,03/12/19 18:20,"311 11th St, Austin, TX 73301"
171847,Bose SoundSport Headphones,1,99.99,03/08/19 21:51,"698 1st St, San Francisco, CA 94016"
171848,Google Phone,1,600,03/30/19 18:15,"129 8th St, Boston, MA 02215"
171849,USB-C Charging Cable,1,11.95,03/22/19 10:09,"70 Johnson St, Boston, MA 02215"
171850,AAA Batteries (4-pack),2,2.99,03/09/19 23:21,"638 Cedar St, New York City, NY 10001"
171851,27in 4K Gaming Monitor,1,389.99,03/05/19 22:56,"902 12th St, Los Angeles, CA 90001"
171852,Macbook Pro Laptop,1,1700,03/14/19 16:47,"820 Cherry St, Dallas, TX 75001"
171853,AA Batteries (4-pack),1,3.84,03/04/19 20:39,"430 12th St, Los Angeles, CA 90001"
171854,AAA Batteries (4-pack),3,2.99,03/21/19 22:02,"388 Johnson St, Boston, MA 02215"
171855,AA Batteries (4-pack),2,3.84,03/10/19 12:09,"306 Cedar St, Portland, OR 97035"
171856,34in Ultrawide Monitor,1,379.99,03/27/19 20:10,"93 Center St, San Francisco, CA 94016"
,,,,,
171857,USB-C Charging Cable,2,11.95,03/08/19 16:15,"976 Madison St, Los Angeles, CA 90001"
171858,AA Batteries (4-pack),2,3.84,03/15/19 10:55,"9 1st St, San Francisco, CA 94016"
171859,Wired Headphones,1,11.99,03/26/19 09:42,"22 12th St, Los Angeles, CA 90001"
171860,Flatscreen TV,1,300,03/24/19 19:28,"69 Main St, San Francisco, CA 94016"
171861,Wired Headphones,2,11.99,03/24/19 11:55,"906 11th St, Boston, MA 02215"
171862,USB-C Charging Cable,1,11.95,03/22/19 15:20,"35 Lincoln St, San Francisco, CA 94016"
171863,USB-C Charging Cable,1,11.95,03/03/19 14:02,"885 4th St, Portland, ME 04101"
171864,USB-C Charging Cable,3,11.95,03/31/19 06:14,"719 6th St, Los Angeles, CA 90001"
171865,AA Batteries (4-pack),1,3.84,03/20/19 20:43,"425 Main St, New York City, NY 10001"
171865,iPhone,1,700,03/20/19 20:43,"425 Main St, New York City, NY 10001"
171866,Apple Airpods Headphones,1,150,03/21/19 23:57,"795 Wilson St, Los Angeles, CA 90001"
171867,AA Batteries (4-pack),1,3.84,03/04/19 10:48,"348 Cherry St, Boston, MA 02215"
171868,AAA Batteries (4-pack),1,2.99,03/12/19 11:27,"216 Ridge St, Boston, MA 02215"
171869,ThinkPad Laptop,1,999.99,03/28/19 08:50,"605 Sunset St, Los Angeles, CA 90001"
171870,Lightning Charging Cable,1,14.95,03/09/19 21:08,"366 10th St, Los Angeles, CA 90001"
171871,Bose SoundSport Headphones,1,99.99,03/12/19 14:06,"348 Lincoln St, Boston, MA 02215"
171872,AAA Batteries (4-pack),1,2.99,03/09/19 16:51,"477 12th St, San Francisco, CA 94016"
171873,USB-C Charging Cable,1,11.95,03/23/19 20:45,"764 Adams St, Atlanta, GA 30301"
171874,Flatscreen TV,1,300,03/07/19 00:08,"422 8th St, Boston, MA 02215"
171875,Apple Airpods Headphones,1,150,03/01/19 21:17,"835 5th St, Boston, MA 02215"
171876,AA Batteries (4-pack),2,3.84,03/28/19 19:05,"965 12th St, Seattle, WA 98101"
171877,AAA Batteries (4-pack),1,2.99,03/07/19 14:29,"38 Lake St, Portland, OR 97035"
171878,ThinkPad Laptop,1,999.99,03/13/19 17:19,"217 River St, Atlanta, GA 30301"
171879,USB-C Charging Cable,1,11.95,03/09/19 17:39,"625 12th St, San Francisco, CA 94016"
171880,Flatscreen TV,1,300,03/01/19 10:50,"889 8th St, San Francisco, CA 94016"
171881,Google Phone,1,600,03/09/19 22:13,"107 2nd St, Dallas, TX 75001"
171881,Wired Headphones,2,11.99,03/09/19 22:13,"107 2nd St, Dallas, TX 75001"
171882,Flatscreen TV,1,300,03/06/19 12:53,"326 9th St, Dallas, TX 75001"
171883,Wired Headphones,1,11.99,03/18/19 10:56,"855 Forest St, Boston, MA 02215"
171884,AA Batteries (4-pack),2,3.84,03/19/19 15:07,"352 Madison St, Seattle, WA 98101"
171885,27in FHD Monitor,1,149.99,03/29/19 00:05,"507 Church St, New York City, NY 10001"
171886,Lightning Charging Cable,1,14.95,03/21/19 08:12,"203 9th St, Portland, OR 97035"
171887,27in 4K Gaming Monitor,1,389.99,03/30/19 15:17,"103 Pine St, Boston, MA 02215"
171888,Wired Headphones,1,11.99,03/30/19 19:14,"588 10th St, Atlanta, GA 30301"
171889,Lightning Charging Cable,1,14.95,03/27/19 15:15,"625 9th St, Boston, MA 02215"
171890,27in 4K Gaming Monitor,1,389.99,03/10/19 09:09,"976 Madison St, Portland, OR 97035"
171891,Macbook Pro Laptop,1,1700,03/01/19 23:20,"584 North St, New York City, NY 10001"
171892,AAA Batteries (4-pack),3,2.99,03/20/19 07:56,"936 14th St, San Francisco, CA 94016"
171893,AA Batteries (4-pack),2,3.84,03/04/19 17:07,"960 Ridge St, Los Angeles, CA 90001"
171894,Lightning Charging Cable,1,14.95,03/25/19 02:39,"732 Jackson St, San Francisco, CA 94016"
171895,AAA Batteries (4-pack),1,2.99,03/07/19 18:12,"705 13th St, Seattle, WA 98101"
